household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
1530,24,576,0.1353308590542939,0.25801015464768023,-0.05457156467147999,0.3075513266600648,0.21386805621700156,1
1533,24,576,0.2915966648918887,0.5479352906026731,-0.13739673397503793,0.40200904793188075,0.38745659882099265,1
1541,24,576,0.5473425679891888,1.0036010609461352,-0.1968448019017362,0.44397327938977127,0.8325781276087381,1
1547,24,576,0.19198263912565178,0.3111082819146364,-0.08037940029882723,0.37785533649855485,0.25973089993931353,1
1553,24,576,0.14421227126796213,0.34252435251557667,-0.07599069804160132,0.14365465218780882,0.20268402649607095,1
1554,24,576,0.11819749167706403,0.19409524274265175,-0.02219047110217313,0.4181537492041132,0.178038193197507,1
1556,24,576,0.10391796166853358,0.169851143313727,-0.030127124692727294,0.3059745611818071,0.13862326343466216,1
1564,24,576,0.18639985612955773,0.4201249360022575,-0.09259218304780209,0.014424351052764961,0.23662499845441845,1
1566,24,576,0.03641677523005961,0.05857628167600682,-0.014249043455088718,0.000747689542546115,0.04839583343709819,1
1568,11,264,0.08532798829290902,0.1102032419198398,-0.0038994381655797815,0.495558572658802,0.09908712141667352,1
1569,24,576,0.13273165058732653,0.21946861147835836,-0.06421421515470785,0.23553165537739618,0.170152776389538,1
1574,24,576,0.21418103562771446,0.3677675313357563,-0.11195233239171405,-0.05712999063504598,0.2775833321114381,1
1575,24,576,0.1430433407917412,0.253294329290137,-0.03855128085706383,0.21164488023650685,0.21207291705326903,1
1576,24,576,0.10697587159746844,0.3146906421590871,-0.03840143924915335,0.2834568084188237,0.11450000079478034,1
1594,24,576,0.025859273914344765,0.0757960048642433,-0.0060361129104017485,0.09888608052762016,0.033592013924135244,1
1596,24,576,0.10023959772014576,0.15535600278090567,-0.028322506392012455,0.28786288929910253,0.13593750046048728,1
1597,24,576,0.06983738345378596,0.14121319151651648,-0.02518629467037196,0.21837618593327368,0.09255729232811266,1
1598,24,576,0.25516080441755346,0.46061417050130116,-0.11818800305870052,0.0867647892179303,0.3447204860874788,1
1600,24,576,0.026818671967096936,0.04184897134182284,-0.007782278060201659,0.22135787374325855,0.03269618055492174,1
1601,24,576,0.24651168498934972,0.36637788776628627,-0.05520674374161495,0.4413619539781457,0.3276371531085008,1
1603,24,576,0.08040181515712498,0.25481112137633916,-0.05334444119620861,0.1699799959609214,0.09433159600141355,1
1605,24,576,0.0471324618887997,0.06937558038591161,-0.011546181714543814,0.1806722289421041,0.06424652739547633,1
1610,24,576,0.044089685187726796,0.12490962009986155,-0.02204529830487445,0.45187215761187205,0.05744097177780026,1
